cluster,rang,terme,score
13,2,l'allemagne,0.08671101997954087
13,3,lloyd,0.08452295196530228
13,4,l'irlande,0.07508968741137023
13,5,britannique,0.05495343338071426
13,6,alliés,0.05234113198121858
13,7,réparations,0.04843717498387069
13,8,août,0.04802479075155897
13,9,allemands,0.04742464008573218
13,10,l'angleterre,0.04724000562787694
13,11,chancelier,0.04531364350986902
13,12,traité,0.045064051652686246
13,13,allemand,0.041902688203542225
13,14,l'empire,0.03975911241803143
13,15,propositions,0.035143479661392835
13,16,allemande,0.03472573613157147
13,17,grande-bretagne,0.03454965437876113
13,18,dc,0.033831860227731214
13,19,troupes,0.03111903933917461
13,20,cabinet,0.030000140187810484
